"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1774.24578523872
"FDW14","OUT017",1436.33995151117
"NCN55","OUT010",708.887636653386
"FDQ58","OUT017",2550.18367017083
"FDY38","OUT027",6376.26111111111
"FDH56","OUT046",1927.00940963644
"FDL48","OUT018",824.16032934735
"FDC48","OUT027",2206.61155555556
"FDN33","OUT045",1574.90463539203
"FDA36","OUT017",3074.22853412177
"FDT44","OUT017",1946.70566933859
"FDQ56","OUT045",1404.60946465177
"NCC54","OUT019",704.975400796813
"FDU11","OUT049",2011.8970978099
"DRL59","OUT013",855.848048313622
"FDM24","OUT049",2494.29919321069
"FDI57","OUT045",3269.71728374945
"DRC12","OUT018",3161.84349794131
"NCM42","OUT027",2986.03822222222
"FDA46","OUT010",568.020755378486
"FDA31","OUT013",2878.73978449409
"NCJ31","OUT035",3946.48300420499
"FDG52","OUT046",785.2876043364
"NCL19","OUT019",417.39996812749
"FDS10","OUT035",2972.89165628559
"FDX22","OUT010",614.289644621514
"NCF19","OUT035",783.037355190539
"NCE06","OUT046",2654.72485015331
"DRC27","OUT046",4024.79101651336
"FDE21","OUT035",1917.13989583881
"NCR42","OUT019",94.0965737051793
"FDX51","OUT018",3206.69056863776
"NCR06","OUT018",697.629872623741
"FDU31","OUT027",5927.66066666667
"FDU59","OUT017",2701.86493788874
"FDR03","OUT027",5583.22333333333
"FDS49","OUT027",2187.69755555556
"FDD48","OUT010",334.330492430279
"NCF18","OUT017",3160.71837336837
"NCD43","OUT027",2814.67977777778
"NCD54","OUT018",2358.46178497591
"FDY19","OUT010",342.039432669323
"NCY54","OUT017",2861.20823815156
"NCL19","OUT018",2382.61577507665
"FDP23","OUT010",636.9379187251
"FDC26","OUT013",1845.41155939553
"FDR14","OUT010",163.708098804781
"NCS41","OUT035",3014.49165694262
"FDF41","OUT035",4081.80061804643
"FDU34","OUT046",2054.57945514674
"DRH11","OUT046",938.613791020587
"FDM03","OUT013",1755.02655203679
"FDS31","OUT017",2977.82641318441
"FDJ20","OUT017",2012.37412431012
"FDV44","OUT027",5137.34511111111
"FDG02","OUT049",3105.91625308804
"FDA09","OUT013",2955.36010994306
"FDT04","OUT013",631.356087472624
"FDL58","OUT019",771.940258167331
"FDE52","OUT045",1482.91747696014
"FDW12","OUT035",2382.57300718353
"FDL51","OUT017",3536.37180753395
"NCY42","OUT027",3847.77944444444
"FDR07","OUT017",1592.43618173456
"FDN40","OUT045",2511.7879716601
"FDB35","OUT027",2460.35533333333
"FDA22","OUT017",2727.53554327639
"NCL06","OUT046",4318.88936833114
"FDI35","OUT013",2981.63604551029
"NCW42","OUT045",3645.89051230837
"NCX06","OUT049",2962.45958020149
"FDC37","OUT027",2945.27566666667
"FDZ14","OUT018",2012.97945448971
"DRG49","OUT049",4034.14073591765
"NCG06","OUT045",4215.34500924222
"DRC36","OUT045",2857.31307003942
"FDV21","OUT019",366.153842231076
"FDB53","OUT046",2444.99439211564
"DRP47","OUT019",740.217192031873
"FDA14","OUT013",2388.02755847569
"DRC24","OUT035",2511.7879716601
"FDW21","OUT018",1655.37736106001
"NCH29","OUT046",1601.70036535261
"FDU58","OUT013",3103.79430762155
"FDY27","OUT017",2921.94193622427
"FDV56","OUT035",1792.29712597459
"FDT59","OUT046",3792.63702312746
"FDB23","OUT046",3709.39425392028
"FDR49","OUT045",760.57105194919
"FDB03","OUT010",710.353772111554
"FDN39","OUT045",2726.97298098993
"FDX02","OUT027",6074.37755555556
"FDQ16","OUT027",2934.316
"FDU35","OUT018",1636.2008957512
"NCT29","OUT013",2009.1270542707
"FDZ27","OUT046",791.781744415243
"FDN57","OUT017",2309.71954616732
"FDA03","OUT018",2395.16979662724
"FDZ36","OUT045",3055.00930091984
"NCU05","OUT013",1335.04584156811
"FDT39","OUT018",2486.07459837933
"FDK60","OUT017",1598.97308970653
"FDZ25","OUT017",2784.50237691634
"FDG12","OUT046",2008.60725987735
"DRB01","OUT019",561.685290836653
"NCC43","OUT027",6822.06855555555
"FDX13","OUT019",728.989526693227
"FDM22","OUT049",872.859800262812
"FDJ03","OUT027",1330.32822222222
"FDU14","OUT018",4108.59634800701
"FDB33","OUT010",466.307901195219
"FDP27","OUT046",3136.08735676741
"FDO38","OUT010",224.901074103586
"FDE28","OUT027",6317.374
"FDO27","OUT035",1568.84475392028
"DRL23","OUT027",2915.33122222222
"FDS28","OUT046",920.476914498467
"FDX24","OUT013",1522.30999636443
"FDZ02","OUT035",1585.25117568988
"FDL46","OUT045",1923.67680381078
"FDS60","OUT027",4866.40777777778
"NCO06","OUT017",543.741123653088
"FDO16","OUT035",1392.01267520806
"FDC60","OUT049",1436.85974590451
"FDA48","OUT018",3622.29908449409
"FDZ36","OUT027",5074.87555555556
"FDK27","OUT045",1985.01583206307
"FDW23","OUT018",638.498325624179
"FDM14","OUT018",1811.4735912834
"FDM14","OUT013",1780.22013092422
"FDW60","OUT018",2925.27454204993
"FDE21","OUT013",1915.49497687254
"NCM42","OUT035",1799.39659623303
"FDY59","OUT010",275.475709960159
"DRI49","OUT049",1337.77311721419
"FDT28","OUT019",443.566967330677
"FDQ22","OUT018",651.095115067893
"FDR60","OUT049",1258.90254261936
"FDC50","OUT019",277.713619123506
"FDV24","OUT013",2497.06923674989
"DRF48","OUT010",552.409931474104
"FDQ47","OUT046",601.833081865966
"DRN36","OUT049",1601.74313324573
"NCY06","OUT035",2115.31315321945
"FDE52","OUT035",1473.04796316251
"NCB54","OUT045",2087.9548609724
"NCF31","OUT035",2510.18582058695
"FDJ08","OUT027",5166.35855555556
"NCC07","OUT017",1745.19980613228
"NCD19","OUT027",1463.50477777778
"FDL46","OUT049",1956.57518313622
"FDM20","OUT045",4050.02736329391
"NCI06","OUT010",529.175203187251
"DRM11","OUT035",4265.73216701708
"NCH07","OUT018",2606.54517363119
"FDS23","OUT013",2130.16019180902
"FDO49","OUT018",807.668371791502
"FDS35","OUT049",1073.84586907578
"DRK39","OUT045",1357.46937691634
"DRI39","OUT049",958.872613009198
"FDV04","OUT017",2599.44570337275
"NCN14","OUT035",3002.97722417871
"FDH08","OUT013",3801.42418024529
"FDS20","OUT046",3010.68202461673
"FDV40","OUT049",1240.33140749014
"FDZ48","OUT010",324.175451792829
"FDS24","OUT027",2383.34366666667
"FDK44","OUT049",2868.30770840999
"FDS48","OUT045",2475.12272790188
"FDK26","OUT010",548.11180876494
"FDD23","OUT045",3102.14938865528
"NCH54","OUT017",2656.4125370127
"NCP14","OUT010",312.376580079681
"FDM60","OUT010",115.571939442231
"FDV24","OUT017",2488.84464191853
"FDH08","OUT018",3763.59104402103
"FDS12","OUT027",3474.541
"FDR39","OUT027",4917.12822222222
"FDP12","OUT027",993.268111111111
"DRF60","OUT027",6436.86866666667
"FDC09","OUT035",1689.87789145861
"FDF50","OUT018",3266.42744581691
"FDG28","OUT035",4012.19422706965
"NCE19","OUT017",912.857649846693
"NCM53","OUT010",317.353816733068
"NCN18","OUT049",1825.1099695138
"FDF32","OUT035",3275.73439732808
