"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1775.65639531694
"FDW14","OUT017",1467.07590337538
"NCN55","OUT010",871.290767447064
"FDQ58","OUT017",2716.64968556131
"FDY38","OUT027",6293.0535098253
"FDH56","OUT046",1924.17225991408
"FDL48","OUT018",728.172901027724
"FDC48","OUT027",2168.57721470784
"FDN33","OUT045",1534.86849796841
"FDA36","OUT017",3251.13061452594
"FDT44","OUT017",2002.78807665944
"FDQ56","OUT045",1368.90245338927
"NCC54","OUT019",949.670421023598
"FDU11","OUT049",2057.37685722346
"DRL59","OUT013",855.922287965953
"FDM24","OUT049",2562.88468580249
"FDI57","OUT045",3473.306856844
"DRC12","OUT018",2839.26063211829
"NCM42","OUT027",2933.7855293861
"FDA46","OUT010",679.650997463035
"FDA31","OUT013",2894.00727849342
"NCJ31","OUT035",3987.85364297977
"FDG52","OUT046",781.763352142225
"NCL19","OUT019",574.980552627509
"FDS10","OUT035",3123.52726634624
"FDX22","OUT010",783.144380812702
"NCF19","OUT035",809.137114536248
"NCE06","OUT046",2569.86226264418
"DRC27","OUT046",4035.53056830304
"FDE21","OUT035",1997.76946568414
"NCR42","OUT019",108.88274406358
"FDX51","OUT018",2871.96814182847
"NCR06","OUT018",566.809892935306
"FDU31","OUT027",6068.86794664219
"FDU59","OUT017",2797.67806456232
"FDR03","OUT027",5331.48112221123
"FDS49","OUT027",2204.75871064955
"FDD48","OUT010",413.752977354114
"NCF18","OUT017",3281.82201321388
"NCD43","OUT027",2721.97677719775
"NCD54","OUT018",2073.64362680293
"FDY19","OUT010",423.293228836903
"NCY54","OUT017",2879.20430563268
"NCL19","OUT018",2105.78564659498
"FDP23","OUT010",812.01816821027
"FDC26","OUT013",1842.92129352221
"FDR14","OUT010",180.196739720921
"NCS41","OUT035",3167.23512769986
"FDF41","OUT035",4299.13206287772
"FDU34","OUT046",1993.17681459988
"DRH11","OUT046",907.732188120743
"FDM03","OUT013",1728.73384372074
"FDS31","OUT017",3122.31275174477
"FDJ20","OUT017",2070.34836617886
"FDV44","OUT027",5267.0481944866
"FDG02","OUT049",3188.39208457932
"FDA09","OUT013",2985.14508994513
"FDT04","OUT013",622.913518733602
"FDL58","OUT019",1100.33054722845
"FDE52","OUT045",1438.7030386922
"FDW12","OUT035",2442.84192750889
"FDL51","OUT017",3681.75487465215
"NCY42","OUT027",3728.06201400899
"FDR07","OUT017",1633.51042442498
"FDN40","OUT045",2467.79581722911
"FDB35","OUT027",2479.36018968813
"FDA22","OUT017",2991.61244469442
"NCL06","OUT046",4237.22896302021
"FDI35","OUT013",3011.68584204446
"NCW42","OUT045",3628.61570938709
"NCX06","OUT049",3086.02180766707
"FDC37","OUT027",2897.37443158088
"FDZ14","OUT018",1769.44073392201
"DRG49","OUT049",4171.43520500256
"NCG06","OUT045",4240.62607802276
"DRC36","OUT045",2908.42577429933
"FDV21","OUT019",442.472622192468
"FDB53","OUT046",2507.81659846429
"DRP47","OUT019",922.129179517847
"FDA14","OUT013",2378.49751427011
"DRC24","OUT035",2663.7956972568
"FDW21","OUT018",1395.1430959386
"NCH29","OUT046",1586.27005429654
"FDU58","OUT013",3135.07525070257
"FDY27","OUT017",3027.75471652346
"FDV56","OUT035",1843.24367488506
"FDT59","OUT046",3867.72646365749
"FDB23","OUT046",3618.72130767835
"FDR49","OUT045",764.385304026511
"FDB03","OUT010",820.428284582029
"FDN39","OUT045",2706.27107126448
"FDX02","OUT027",6024.08198697956
"FDQ16","OUT027",2886.59301022259
"FDU35","OUT018",1445.63759076685
"NCT29","OUT013",2006.16900215341
"FDZ27","OUT046",785.983370609866
"FDN57","OUT017",2395.11020278994
"FDA03","OUT018",2104.78282442209
"FDZ36","OUT045",3046.77939104653
"NCU05","OUT013",1329.0543574157
"FDT39","OUT018",2195.85439838126
"FDK60","OUT017",1640.21594106558
"FDZ25","OUT017",2939.19718385092
"FDG12","OUT046",1989.46952660979
"DRB01","OUT019",774.93924505005
"NCC43","OUT027",6607.30593691461
"FDX13","OUT019",1039.10819048939
"FDM22","OUT049",885.360148104574
"FDJ03","OUT027",1304.19384115123
"FDU14","OUT018",3658.97782841666
"FDB33","OUT010",588.315305330855
"FDP27","OUT046",3142.09932772207
"FDO38","OUT010",264.226866454741
"FDE28","OUT027",6263.22089970116
"FDO27","OUT035",1577.05351063743
"DRL23","OUT027",2804.21246896719
"FDS28","OUT046",908.833699738474
"FDX24","OUT013",1522.44204756802
"FDZ02","OUT035",1629.58390648026
"FDL46","OUT045",1896.27497983018
"FDS60","OUT027",4897.63147166788
"NCO06","OUT017",506.217642179876
"FDO16","OUT035",1471.39729835326
"FDC60","OUT049",1465.00763931865
"FDA48","OUT018",3253.18392549353
"FDZ36","OUT027",5055.57857812234
"FDK27","OUT045",1940.74985958296
"FDW23","OUT018",531.587739363665
"FDM14","OUT018",1567.44833920393
"FDM14","OUT013",1761.47503404392
"FDW60","OUT018",2605.60012155181
"FDE21","OUT013",1921.43738978626
"NCM42","OUT035",1829.37558653761
"FDY59","OUT010",336.256806540962
"DRI49","OUT049",1327.68890883094
"FDT28","OUT019",615.694578104212
"FDQ22","OUT018",538.644870934551
"FDR60","OUT049",1283.56427783008
"FDC50","OUT019",330.900589815141
"FDV24","OUT013",2505.91398567523
"DRF48","OUT010",678.96468812982
"FDQ47","OUT046",574.175296301595
"DRN36","OUT049",1632.9242634535
"NCY06","OUT035",2165.03538022191
"FDE52","OUT035",1531.82003226247
"NCB54","OUT045",2058.21297737405
"NCF31","OUT035",2615.52919969607
"FDJ08","OUT027",5130.30255268867
"NCC07","OUT017",1829.69796233973
"NCD19","OUT027",1436.47122889131
"FDL46","OUT049",2000.56396248124
"FDM20","OUT045",4082.59622890984
"NCI06","OUT010",644.338584818459
"DRM11","OUT035",4527.67062387373
"NCH07","OUT018",2322.84182611984
"FDS23","OUT013",2192.11985668376
"FDO49","OUT018",688.699701380642
"FDS35","OUT049",1094.8823683946
"DRK39","OUT045",1323.98062363504
"DRI39","OUT049",970.55161177787
"FDV04","OUT017",2670.43128687653
"NCN14","OUT035",3130.62917756395
"FDH08","OUT013",3876.68759542879
"FDS20","OUT046",3041.02455498861
"FDV40","OUT049",1270.15094772902
"FDZ48","OUT010",361.553945028404
"FDS24","OUT027",2401.75365136093
"FDK44","OUT049",2981.57493756272
"FDS48","OUT045",2451.97286407449
"FDK26","OUT010",698.775710855139
"FDD23","OUT045",3183.88388255116
"NCH54","OUT017",2766.86314327992
"NCP14","OUT010",334.638044642931
"FDM60","OUT010",124.738809696131
"FDV24","OUT017",2572.71962008956
"FDH08","OUT018",3409.24263320948
"FDS12","OUT027",3411.57458861831
"FDR39","OUT027",4963.59427213147
"FDP12","OUT027",916.242831069846
"DRF60","OUT027",6412.39277399866
"FDC09","OUT035",1769.8229957797
"FDF50","OUT018",2933.57588996729
"FDG28","OUT035",4258.56411699704
"NCE19","OUT017",934.537184727736
"NCM53","OUT010",353.945753063958
"NCN18","OUT049",1837.53231063271
"FDF32","OUT035",3441.71496654757
"FDF11","OUT013",4016.80467041807
"DRI59","OUT049",3830.57810236788
"NCG54","OUT035",2887.4827501843
"FDM44","OUT046",1651.86302137989
"FDT57","OUT018",3480.10671670706
"FDV24","OUT046",2475.40522109537
"FDI50","OUT019",982.865408434388
"FDS09","OUT035",869.465877067789
"NCC31","OUT027",4163.50258730784
"FDQ07","OUT019",886.16222087639
"FDC22","OUT017",3283.69016587005
"FDZ56","OUT046",2800.05889973025
"FDZ40","OUT019",219.727809079843
"FDS46","OUT027",3226.53625912458
"DRD24","OUT045",2327.09457718398
"FDV45","OUT017",3262.4265015535
"FDL26","OUT045",2543.28257987621
"FDA56","OUT018",1798.46743511268
"FDN27","OUT046",1931.11282482729
"FDM20","OUT049",4208.68492045831
"FDO16","OUT017",1431.15338831192
"FDL03","OUT035",3419.07411034485
"FDE58","OUT046",1921.92532382612
"FDI02","OUT027",2941.4149015553
"NCC55","OUT019",115.162224139798
"FDR03","OUT018",2922.97307939614
"FDB14","OUT017",1562.68572501066
"FDR45","OUT013",4002.91497772966
"NCN07","OUT017",2206.92955746095
"FDM51","OUT019",408.014706291129
"FDT52","OUT027",6641.76283157579
"FDL26","OUT046",2546.74200807188
"NCZ42","OUT046",3826.41748348375
"DRI47","OUT019",599.888214687999
"FDW40","OUT013",2319.18251698495
"FDN34","OUT046",2797.83998226034
